Product Name,Unit_Price,Product_Active,Description
Anchor Bolts,350,true,Chemical anchors mechanical expansion anchors and sleeve anchors
Angle Grinders,600,true,Angle grinders for cutting grinding and polishing
Anti Fungal Anti Bacterial Paint,350,true,Specialist anti-fungal anti-bacterial paint coatings
Booster Pumps,5000,true,Domestic and commercial water booster pump systems
Cable Glands Lugs Connectors,200,true,Cable glands lugs and electrical connectors
Cable Jointing Systems,500,true,Cable jointing kits and termination systems
Cable Ties Pulling Springs,150,true,Cable ties and cable pulling springs
Cable Trays Ladders,800,true,Cable trays and cable ladder systems
Ceramics Tiles,500,true,Ceramic floor and wall tiles
Chop Saws Miter Saws,1200,true,Chop saws and miter saws for cutting
Co Axial Cables,800,true,Coaxial cables for TV and data transmission
Control Components,2000,true,Electrical control components and switchgear
Control Panels For Pumps,5000,true,Pump control panels and motor starters
Copper Coils Tubes,2000,true,Copper coils and tubes for HVAC and plumbing
Coveralls Hi Vis Vests,200,true,Protective coveralls and high-visibility vests
Data Fibre Optic Instrumentation Cables,3000,true,Data fibre optic and instrumentation cables
Distribution Boards Enclosures,2000,true,Electrical distribution boards and enclosures
Down Lights,300,true,LED downlights for residential and commercial use
Drainage Pipes Systems,500,true,Drainage pipes and drainage system components
Drills Hammer Drills,800,true,Electric and cordless drills and hammer drills
Duct Tape,100,true,Heavy-duty duct tape for sealing and repairs
Ear Plugs Protectors,50,true,Ear plugs and hearing protection equipment
Earthing Systems,1500,true,Earthing and grounding systems for electrical installations
Emulsion Paint,280,true,Interior and exterior emulsion paint
Enamel Paint,200,true,Enamel paint for metal wood and surfaces
Exterior Emulsion,350,true,Weather-resistant exterior emulsion paint
Fenomastic Paint,400,true,Jotun Fenomastic premium paint range
Fire Performance Cables,2000,true,Fire-rated and fire-performance electrical cables
Floor Distribution Systems,5000,true,Floor-mounted electrical distribution systems
Furse Air Terminals,1000,true,Furse lightning air terminals and rods
Furse Copper Tape,500,true,Furse copper tape for lightning protection
Grid Switches Modules,500,true,Grid switches and modular wiring accessories
Hand Tools,300,true,General hand tools for construction and maintenance
HDPE Pipes Fittings,600,true,High-density polyethylene pipes and fittings
High Pressure Pipes,800,true,High-pressure pipes for industrial applications
Hilti Systems,2000,true,Hilti anchoring fastening and installation systems
HVAC Accessories,1000,true,HVAC system accessories and components
HVAC Controls,2000,true,HVAC control systems and thermostats
Impact Wrench,800,true,Electric and pneumatic impact wrenches
Insulation Tape,80,true,Electrical insulation tape PVC and self-amalgamating
Interior Emulsion,280,true,Interior wall emulsion paint
Isolators,800,true,Load break isolators and switch disconnectors
Jig Saws,600,true,Electric and cordless jig saws
Ladders,1500,true,Aluminium and fibreglass ladders
LED Strips Profiles,500,true,LED strip lights and aluminium profiles
Lightning Protection Systems,2000,true,Complete lightning protection and earthing systems
Linear Lights,800,true,Linear LED lighting for commercial use
Load Break Isolators,1500,true,High-voltage load break isolators
Main Distribution Panel Board Circuit Breakers,3000,true,Main distribution boards and circuit breakers
Masking Tape,80,true,Masking tape for painting and surface protection
Metal Clad Switches,300,true,Metal-clad switches and sockets
Mixer Taps Shower Sets,1000,true,Mixer taps and shower sets for bathrooms
Modular Distribution Board Components,500,true,Modular distribution board components and accessories
MS Tube Steel Sections,1000,true,Mild steel tubes and structural steel sections
Multicore Industrial Cables,3000,true,Multicore industrial power and control cables
Nuts Bolts,200,true,Nuts bolts and threaded fasteners
Panel Board Accessories,300,true,Panel board accessories and bus bar systems
Panel Lights,400,true,LED panel lights for offices and commercial spaces
Panel Switchboard Battery Cables,1500,true,Panel switchboard and battery cables
PEX Pipes,500,true,Cross-linked polyethylene PEX pipes for plumbing
Pipe Insulation Aerofoam,300,true,Pipe insulation and Aerofoam thermal insulation
Polythene Sheets Tarpauline,500,true,Polythene sheets and tarpaulin covers
Pop Up Switches,500,true,Pop-up floor and desk switches and sockets
Power Factor Capacitor Bank Components,3000,true,Power factor correction capacitor bank components
Power Tools General,1000,true,General power tools for construction trades
PPR Pipes Fittings,361,true,Polypropylene random PPR pipes and fittings
Pressure Kit Pressure Sets,3000,true,Domestic pressure kits and pressure booster sets
Primers Undercoats,200,true,Primers and undercoats for surface preparation
Protection Accessories,300,true,Personal protection accessories and PPE
PVC Conduit Trunking Systems,500,true,PVC conduit and cable trunking systems
PVC White Pipes,400,true,PVC white pipes for water supply and drainage
Refrigerant Gas,500,true,HVAC refrigerant gases R410A R32 and others
Routers,800,true,Electric wood routers and routing tools
Rubber Welding Cables,1000,true,Rubber-sheathed welding cables
Safety Gloves,150,true,Industrial safety gloves and work gloves
Safety Harness,500,true,Full-body safety harness and fall protection
Safety Helmets,200,true,Hard hats and safety helmets
Safety Shoes,400,true,Safety footwear and steel-toe boots
Sanitary Fittings Ware,800,true,Sanitary fittings and bathroom ware
Screws,150,true,Wood screws self-tapping screws and machine screws
Sensor Taps,1500,true,Touchless sensor taps and automatic faucets
Sheet Insulation,500,true,Rigid sheet insulation boards
Single Core Wires,800,true,Single-core electrical wires and conductors
Smart Switches,500,true,Smart WiFi and touch-panel switches
Solar Cables,1200,true,UV-resistant solar PV cables
Spanners Hand Tools,300,true,Spanners wrenches and hand tool sets
Spirit Level Manhole Cover,300,true,Spirit levels and manhole covers
Spot Lights,400,true,LED spotlights and adjustable spot fittings
Steel Conduit Wiring Boxes,300,true,Steel conduit and galvanised wiring boxes
Steel Nails,150,true,Steel wire nails and masonry nails
Steel Support Systems,500,true,Cable management steel support and strut systems
Submersible Pumps,5000,true,Submersible pumps for drainage and wells
Switch Sockets Standard,200,true,Standard switches and socket outlets
Texture Paint,350,true,Texture and decorative wall paint finishes
Thermocol Sheets,300,true,Expanded polystyrene thermocol insulation sheets
Tool Accessories,200,true,Power tool accessories blades bits and discs
Track Lights,600,true,Track lighting systems and spotlights
Transfer Pumps,2000,true,Portable transfer and centrifugal pumps
UPVC Pipes Fittings,500,true,UPVC pipes and pressure fittings
Valves Fittings,600,true,Ball valves gate valves and pipe fittings
Wall Putty,150,true,White cement wall putty for surface finishing
Water Heaters,2000,true,Electric and solar water heaters
